Nombre,Persona asignada,Fecha límite,Prioridad
"Entregar el concepto final de la auditoría (revisión contractual, societaria y regulatoria)",MA,Mañana,Alta
Finalizar y compartir el template del modelo corporativo internacional (estructura y costos),MA,vie.,Alta
"Terminar la propuesta de estructura corporativa internacional (holding, opco, upco, spv)",MA,3/13/26,
"Revisar y, si hace falta, ajustar las políticas de privacidad y términos; coordinar revisión",WL,,
Abrir la cuenta bancaria en Panamá y gestionar la apertura de cuenta en EE. UU.; información requerida,T,,Urgente
Rellenar la lista de inversores en Calendly/Candy con mínimo 25 reuniones para la próxima fase,T,,Alta
Preparar y enviar un resumen/actuación sobre bonos verdes (plan y requisitos),T,Hoy,Alta
Contactar a Franco y coordinar su integración con el desarrollo del MVP,T,Hoy,
"Agendar la reunión la próxima semana con Franco, el equipo legal y Alain para definir próximos pasos",JC,,Urgente
Compartir la agenda y documentación relevante en el chat y seguir la coordinación,JC,,
Revisar las políticas de privacidad y términos ya elaboradas y coordinar ajustes,WL,,
"Liderar la investigación y coordinación sobre bonos de carbono (estructura, certificación)",WL,,
Coordinar con Daniel y Leandro la radicación de actas y la creación de la sucursal,"D, JC, LB, WL",jue.,Alta
Coordinar con Leandro y Olga (contadora) los pendientes en Colombia y la radicación,D,,Alta
Confirmar disponibilidad para la reunión con Franco y colaborar en la integración técnica,D,,
